text,valence,arousal
北堂天未晚，游子归来早。堂前一夜风，开遍宜男草。,-0.7733084516126589,-0.443245124421733
九月十月天雨霜，江南剑南途路长。平生故人阻携手，万里一书空断肠。人生彊健已难恃，世事变迁那可常。两家子孙各长大，他年穷达毋相忘。,-0.7323186073332951,-0.3928510042984946
岁穷浩长叹，心事如波澜。高卧老将至，相思天正寒。浮云纷霰雪，陋巷独瓢箪。里饭非无意，悠悠行路难。,-0.7673665276080595,-0.4480976968850892
精舍初成近惠泉，几回辰至起僧眠。新正屈指今三日，旧约惊心又一年。慈母板舆应偶尔，佳宾草饭乃居然。凭君莫问山中事，万里青云彩鹢前。,-0.7289028888458021,-0.11843278470491087
高卧沧洲惊岁晚，幽栖白画自闲情。山中麋鹿逢人惯，树底鸥凫戏浪轻。修竹苍苍风阁倚，浮云片片野堂明。故人冀北伤千里，忽听关河朔雁声。,-0.4800081305571438,0.11858836148340793
牢落长为客，残年独拥衾。灯分寒夜火，雨过震馀阴。捣药滋玄发，书符狷黑祲。相看故乡泪，不敢效吴音。,-0.7099927480930368,-0.5523697449091737
凯之曾说越中行，塔级亲登眼始惊。画合千山翠浓淡，枝分万水练纵横。树头低压昏烟重，鹤背斜拖夕照明。疑是丹成生羽翼，泠然云表御风清。,-0.2686098885805342,0.30176583497169773
年去贫来不自由，暗伤颜面向交游。他乡且斗孤身健，此日徒悬西壁愁。纸裹已空难爱惜，瓶储欲罄未知谋。何缘忽致监河粟，莫是枯鳞尚有求。,-0.8188910430142726,-0.43179477747077155
新月桐帘影上钩。露寒庭院一天秋。金风飒飒夜悠悠。砧杵带愁敲远梦，雁声衔恨落高楼。碧云流断暮江幽。,-0.7071385774473858,-0.06066096092865981
一棹三江候早潮，方山谁道玉人遥。烹鸡载酒情何限，倚马成诗思欲飘。白雁声寒天际雨，丹枫影落渡头桥。悬知此别相思地，春到梅枝雪未消。,-0.6803168139095773,-0.5026095335751279
忽忽流光五十驰，是非真觉逐年知。所经荣贱都非我，误绊风尘好为谁。蒲柳未秋零已早，菊松有约赴难期。与君且醉他乡酒，莫遣繁忧上鬓丝。,-0.7800443505320492,-0.41234938530712195
前村刈稻后分秧，南陇初花北半黄。猛记明宵当祀灶，水田万罫是他乡。,-0.7218631305944991,-0.5329004158153627
客署闲花事，乡心醉柳条。闭门春草长，高枕白云骄。牛马呼仍在，鹍鹏路已遥。有田堪种米，罄折笑前朝。,-0.6038924699690382,-0.5244905444487025
数椽茅屋野人家，落落疏篱一径斜。山雨欲来林鸟寂，蜻蜓飞上水荭花。,-0.6787000926578892,-0.39754045925651743
荒畛通云岫，烟萝敞绀扉。画梁云气尽，网户雨丝飞。僧寂鸣钟罢，林荒宿鸟归。一灯仍自照，惆怅恋残晖。,-0.7147993808993843,-0.5075689130765272
寞寞山中居，望君出山坂。绿叶脱稠枝，涸水归低涧。萧萧秋已深，冉冉岁将晏。相思久不瞻，清泪落如霰。欲将尺素书，天高少鸿雁。,-0.7432326368909042,-0.35831968888908744
何处吟诗成不寐，夜窗残梦雨来时。清闻木叶随空远，暝觉山钟到枕迟。千里关河游子恨，一年生事窭人悲。万间大厦君须作，不用归心绕故篱。,-0.6684714495566998,-0.4829075955046527
朝衙群吏集，戢戢同队鱼。暮衙群吏散，翩翩若惊凫。归来坐虚室，开编对璠玙。启户阒无人，清风入吾庐。持杯邀明月，大嚼时与俱。跰跹步松阴，对影聊相娱。嗟予懒惰久，阔略与世疏。故人隔清湘，怀抱何由舒。为问鲁山翁，此意今何如。,-0.36215581054060664,0.3129844423719339
岁闰堪怜历候迟，出门惟与野云期。惊鱼掷上绿荷芰，栖鸟啄馀红荔枝。末路可能长薄命，修途应合有良时。市头相者休相戏，蹙膝先生半自知。,-0.43318489187778136,0.0012244801701879887
久在樊笼始见几，高人只是急流归。畏荣未必知吾意，忤物何妨与世违。戢羽岂容寻往迹，悬车自合敛馀辉。却嫌此老还多事，形影神中辩是非。,-0.7410785580926758,-0.10435775551056257
荒居无四邻，谁肯访来频。古树秋中叶，他乡病里身。雁声风送急，萤影月流新。独为成名晚，多惭见友人。,-0.7342996192100593,-0.4188064505772816
异地同为客，如君最系思。眼穿垂暮日，愁剧未归时。燧色连青海，乡心满绛帷。春风将改岁，桃李又花期。,-0.6388947369706546,-0.3984508225459471
听彻晨鸡又暮鸦。病来帘外即天涯。明朝才得问归槎。客路纵遥终会到，他乡须好不如家。江门春水照江花。,-0.7211583595521643,-0.44511565109961493
五夜箫声逐凤凰，碧桃枝下几传觞。云开郭隗黄金馆，花满卢家白玉堂。尚拟故人来汉阙，不堪游子去濠梁。相思欲吊天南冢，落尽梅花大海傍。,-0.7765565340217137,-0.5078108221287894
荷花兼柳叶，彼此不胜秋。玉露滴初泣，金风吹更愁。绿眉甘弃坠，红脸恨飘流。叹息是游子，少年还白头。,-0.7006899184552068,-0.1676310611873284
乡心撩乱入春先，客里从春六度然。历历风云同记睹，悠悠日月异周旋。销磨旅腊增梅恨，倾盖京华问柳缘。蚤晚烟光人世满，不知绮语向谁传。,-0.7534400010444543,-0.4277036203641421
桂树他乡少，王孙故国稀。天涯春草遍，处处待人归。,-0.732672119103286,-0.4581453525413034
独坐看新月，长吟忆故人。婵娟同此夜，离别又经春。白发催人老，青山入梦频。无由一相见，顾影倍伤神。,-0.7334546505120241,-0.2564311565139428
祗道青云定有期，忽闻长逝使人悲。尊前握手难重会，客里论心更与谁。月隐屋梁愁独夜，魂飞淮海梦归时。青山何处荒坟树，未絓吴钩泪已垂。,-0.7309740218982075,-0.5384833958505587
旅夕逢三五，维舟近卜林。山僧供素品，晚酌佐情深。夜寂风生袖，月移岸徙阴。亭杯不可问，此夕他乡心。,-0.7356248674506304,-0.4233606481366206
国破山河在，城春草木深。感时花溅泪，恨别鸟惊心。烽火连三月，家书抵万金。白头搔更短，浑欲不胜簪。,-0.636988199559715,-0.2968324953497684
团团故园月，微钩画云端。孤舟天际来，湖波正瀰漫。但念时节流，不畏道途难。晚树齐弄色，晴飙骤生寒。归鸟哺高林，稚子迎门欢。梦中倏先至，相思强加餐。,-0.7521726275600702,-0.4957589521659982
底须三宿问他乡，谁向花前笑索郎。酿秫时光宜薄醉，调弦情绪动清商。但教天下轻绵暖，何惜林间坠叶凉。试种东坡三百尺，芟来终比暮春长。,-0.7086285203203087,-0.4613243877868796
客里逢元日，遥怜乡信稀。慈亲应有念，游子未能归。江上雪初霁，天边云乱飞。酒杯那忍醉，搔首对春晖。,-0.7023441026282948,-0.46421450887082566
风急营中忽夜惊，误将军出获胡兵。黄龙戍卒归无日，白马将军幸有名。,-0.5086610598724304,0.097696563382239
雪貌潜凋雪发生，故园魂断弟兼兄。十年除夜在孤馆，万里一身求大名。空有新诗高华岳，已无丹恳出秦城。侯门莫问曾游处，槐柳影中肝胆倾。,-0.7085376037530232,-0.41098211959734804
忽传海外来青鸟，行庆杯中映紫霞。芳草伴人频作客，白云何处倍思家。已知陶令归餐菊，犹似潘郎学种花。遥想鹿门当此日，含情游子在天涯。,-0.7547563106589615,-0.47032786526298376
